Machine_ID,Temperature,Pressure,Vibration,Current,Sensor_Type
M-087,74.75,101.71,0.476,16.5,TypeB
M-266,68.26,97.96,0.461,17.44,TypeA
M-198,72.46,99.05,0.568,13.0,TypeA
M-267,76.9,89.81,0.529,16.38,TypeC
M-138,71.03,93.1,0.598,13.54,TypeC
M-227,72.19,91.86,0.658,15.3,TypeA
M-140,68.31,99.72,0.601,16.05,TypeB
M-203,75.25,93.01,0.51,17.09,TypeC
M-147,68.29,101.83,0.519,15.65,TypeB
M-245,68.4,87.64,0.517,14.83,TypeA
M-130,70.49,91.21,0.422,13.98,TypeA
M-039,68.02,102.06,0.371,15.24,TypeC
M-301,101.3,170.99,2.411,32.08,TypeB
M-187,73.42,96.77,0.583,16.03,TypeB
M-304,118.05,186.7,2.086,35.48,TypeC
M-113,72.18,92.33,0.446,17.08,TypeA
M-186,74.14,92.89,0.608,15.43,TypeC
M-118,68.49,100.58,0.515,14.52,TypeB
M-292,70.52,97.61,0.551,13.67,TypeC
M-286,66.14,101.24,0.685,15.94,TypeC
M-182,69.43,95.22,0.366,14.65,TypeC
M-195,72.52,107.62,0.392,15.73,TypeA
M-197,69.35,94.81,0.496,15.08,TypeB
M-003,73.94,103.74,0.587,15.03,TypeB
M-116,72.9,96.26,0.61,15.2,TypeA
M-159,68.43,97.23,0.414,15.54,TypeC
M-196,73.16,102.69,0.605,14.92,TypeA
M-121,74.37,110.3,0.531,15.52,TypeB
M-232,72.65,91.69,0.408,15.42,TypeA
M-273,75.49,101.63,0.362,15.1,TypeA
M-128,70.3,103.43,0.535,15.12,TypeA
M-075,64.14,110.77,0.359,14.55,TypeC
M-030,71.12,103.14,0.609,14.93,TypeB
M-084,70.45,97.37,0.549,14.95,TypeC
M-261,69.22,101.45,0.52,12.5,TypeB
M-108,72.52,99.29,0.675,15.64,TypeB
M-169,71.26,97.35,0.437,14.53,TypeA
M-259,73.33,101.97,0.445,15.98,TypeC
M-134,73.42,103.59,0.33,15.65,TypeA
M-210,83.56,95.85,0.411,16.91,TypeC
M-238,72.56,98.08,0.4,13.77,TypeA
M-291,71.38,100.36,0.582,15.11,TypeC
M-066,76.07,97.99,0.511,16.44,TypeA
M-219,70.54,100.5,0.508,15.2,TypeA
M-086,70.49,100.75,0.571,13.84,TypeB
M-235,78.43,96.74,0.497,14.76,TypeB
M-160,73.97,94.01,0.57,14.63,TypeB
M-013,72.73,104.13,0.528,15.25,TypeC
M-036,68.34,99.26,0.335,14.5,TypeC
M-029,70.2,103.12,0.506,16.57,TypeC
M-171,69.33,98.62,0.571,14.95,TypeB
M-143,67.18,89.66,0.438,16.08,TypeB
M-211,73.71,101.35,0.481,14.81,TypeB
M-132,72.21,89.8,0.402,13.33,TypeA
M-284,68.29,111.35,0.604,13.43,TypeA
M-052,70.84,107.38,0.613,15.35,TypeA
M-096,67.61,97.65,0.469,14.72,TypeC
M-229,69.85,101.3,0.458,14.94,TypeC
M-179,71.21,115.39,0.493,16.5,TypeC
M-243,73.51,102.65,0.388,14.85,TypeA
M-042,72.51,101.22,0.667,15.87,TypeA
M-090,73.54,97.12,0.544,15.03,TypeC
M-239,70.01,105.03,0.598,15.6,TypeA
M-137,69.65,108.14,0.526,13.77,TypeA
M-027,68.55,105.79,0.401,14.44,TypeC
M-309,118.33,166.72,2.543,36.47,TypeB
M-142,75.92,99.84,0.372,14.54,TypeC
M-221,78.94,91.65,0.448,16.11,TypeA
M-001,73.49,95.86,0.576,15.37,TypeC
M-283,76.76,103.16,0.451,15.92,TypeA
M-287,71.54,97.7,0.558,14.02,TypeB
M-101,67.75,92.03,0.448,16.4,TypeA
M-193,72.64,100.39,0.527,15.73,TypeB
M-289,72.84,104.15,0.559,15.55,TypeC
M-104,69.59,100.23,0.359,14.35,TypeC
M-172,69.55,88.49,0.444,15.48,TypeB
M-099,72.02,99.43,0.592,14.43,TypeA
M-037,72.63,95.87,0.582,13.98,TypeB
M-062,71.44,107.66,0.445,16.33,TypeA
M-151,72.75,99.69,0.408,14.37,TypeC
M-048,75.17,92.96,0.495,14.31,TypeB
M-223,74.06,96.69,0.73,15.64,TypeA
M-272,67.69,108.38,0.42,15.28,TypeC
M-012,70.6,105.49,0.494,15.22,TypeB
M-312,127.0,168.67,2.576,31.39,TypeB
M-201,73.07,104.63,0.594,16.0,TypeB
M-282,73.99,97.92,0.447,16.39,TypeA
M-028,73.13,103.96,0.487,15.38,TypeA
M-241,69.62,104.18,0.495,14.7,TypeB
M-005,71.3,99.9,0.541,15.19,TypeC
M-123,76.21,98.76,0.365,14.98,TypeA
M-033,71.96,100.38,0.484,13.55,TypeA
M-225,70.58,96.18,0.455,16.63,TypeA
M-163,75.48,96.5,0.756,16.15,TypeC
M-231,69.81,103.19,0.366,15.32,TypeC
M-269,70.68,90.65,0.566,15.59,TypeC
M-139,74.44,91.48,0.667,15.22,TypeB
M-063,68.68,99.46,0.497,15.2,TypeA
M-216,74.28,103.78,0.351,15.36,TypeA
M-136,76.65,100.37,0.547,16.57,TypeA
M-129,72.3,105.29,0.446,15.61,TypeA
M-306,126.53,184.95,2.245,31.71,TypeA
M-009,70.59,102.74,0.322,15.65,TypeC
M-071,73.08,100.12,0.625,15.13,TypeB
M-278,70.2,103.85,0.522,14.9,TypeA
M-065,74.44,103.45,0.429,14.91,TypeC
M-045,67.56,97.64,0.475,16.85,TypeB
M-015,66.83,106.53,0.745,14.9,TypeB
M-157,77.6,99.46,0.549,14.97,TypeB
M-041,74.22,95.89,0.466,13.72,TypeB
M-251,68.22,100.43,0.438,14.01,TypeA
M-124,67.79,104.86,0.574,17.14,TypeC
M-290,70.13,95.72,0.611,14.03,TypeC
M-217,69.68,102.5,0.527,17.4,TypeB
M-154,72.7,102.52,0.605,15.26,TypeB
M-024,67.73,110.46,0.635,14.3,TypeA
M-279,72.21,92.61,0.498,14.01,TypeA
M-111,66.24,103.56,0.521,16.32,TypeA
M-082,73.07,97.0,0.387,15.43,TypeA
M-237,65.92,95.7,0.655,16.19,TypeC
M-208,73.54,95.68,0.452,13.95,TypeA
M-213,74.86,98.81,0.645,15.87,TypeA
M-040,72.59,97.18,0.37,14.44,TypeC
M-288,73.76,95.75,0.464,14.78,TypeC
M-249,77.3,101.86,0.436,16.59,TypeA
M-252,74.75,99.22,0.444,12.85,TypeB
M-307,106.84,178.07,2.982,47.88,TypeB
M-202,73.68,109.55,0.448,12.1,TypeB
M-162,74.36,100.18,0.512,12.15,TypeC
M-044,71.1,97.47,0.35,14.9,TypeA
M-218,71.29,95.11,0.589,14.94,TypeB
M-191,70.66,99.96,0.543,14.93,TypeC
M-260,74.32,97.9,0.563,14.68,TypeC
M-106,73.21,103.11,0.561,15.39,TypeC
M-054,73.84,99.2,0.389,16.44,TypeB
M-002,71.59,97.2,0.408,14.61,TypeA
M-050,66.71,98.93,0.57,15.24,TypeC
M-081,71.34,95.8,0.572,15.79,TypeB
M-206,69.19,97.56,0.469,13.96,TypeB
M-035,74.47,104.88,0.399,15.44,TypeA
M-264,68.93,98.37,0.68,13.35,TypeA
M-092,74.91,102.46,0.616,12.96,TypeB
M-053,69.97,104.29,0.473,13.75,TypeB
M-265,71.24,106.01,0.439,16.02,TypeC
M-242,71.66,94.35,0.567,16.38,TypeB
M-014,66.26,104.07,0.387,16.58,TypeB
M-089,70.41,104.75,0.571,14.78,TypeA
M-274,72.03,98.9,0.427,14.94,TypeA
M-167,74.47,103.07,0.497,13.71,TypeA
M-310,112.33,189.47,2.106,34.53,TypeC
M-135,69.24,107.51,0.603,14.52,TypeC
M-303,128.54,176.95,1.848,41.57,TypeA
M-244,74.6,107.21,0.538,15.13,TypeB
M-055,75.09,99.9,0.757,14.92,TypeA
M-051,72.97,101.55,0.685,14.76,TypeA
M-175,72.83,108.22,0.562,16.0,TypeA
M-190,67.46,104.41,0.334,14.8,TypeC
M-314,107.11,160.95,2.987,31.35,TypeA
M-188,71.78,94.59,0.546,15.24,TypeA
M-170,69.74,97.12,0.681,15.35,TypeA
M-059,72.99,101.61,0.52,15.57,TypeB
M-049,73.03,96.41,0.477,14.95,TypeB
M-236,73.9,100.24,0.523,15.96,TypeB
M-253,78.37,105.84,0.436,14.36,TypeA
M-022,71.32,102.98,0.547,13.97,TypeB
M-161,69.08,109.82,0.442,15.77,TypeA
M-277,72.6,101.18,0.448,13.31,TypeC
M-192,74.57,107.4,0.521,14.96,TypeB
M-294,74.55,101.67,0.617,15.32,TypeC
M-258,69.88,97.84,0.547,17.25,TypeA
M-150,72.89,94.7,0.359,16.38,TypeC
M-131,67.35,94.08,0.52,14.74,TypeB
M-152,73.04,104.78,0.365,15.4,TypeA
M-100,71.3,106.19,0.482,15.57,TypeC
M-088,72.99,109.38,0.463,15.88,TypeB
M-215,71.05,97.12,0.603,15.15,TypeA
M-122,69.27,108.78,0.329,14.43,TypeB
M-315,123.42,185.68,1.693,46.01,TypeA
M-021,76.4,100.48,0.421,16.07,TypeB
M-189,69.46,108.44,0.493,14.74,TypeC
M-072,76.61,102.49,0.293,14.32,TypeC
M-107,77.66,94.66,0.372,15.9,TypeB
M-271,76.32,100.09,0.482,15.76,TypeA
M-103,70.97,100.03,0.43,15.06,TypeB
