song_name,artist,language,emotion_tag,target_mood,valence,energy,tempo,spotify_track_id,spotify_url
Taare Ginn,Jasleen Royal,Hindi,uplifting,happy,0.86,0.72,102,4xM5bLOqRT1c2N6Z9iYQp8,https://open.spotify.com/track/4xM5bLOqRT1c2N6Z9iYQp8
Baarishein,Anuv Jain,Hindi,comforting,happy,0.64,0.38,70,3cN7P0sQgH8bZ1o4JkGXK2,https://open.spotify.com/track/3cN7P0sQgH8bZ1o4JkGXK2
Shayad,Arijit Singh,Hindi,calming,happy,0.63,0.36,66,5YUKfGbH3kQ9cM2sZX8vPr,https://open.spotify.com/track/5YUKfGbH3kQ9cM2sZX8vPr
Mere Meherbaan,Jubin Nautiyal,Hindi,hopeful,happy,0.79,0.60,90,6pRbW4cHJCL7dN1tGo2QmY,https://open.spotify.com/track/6pRbW4cHJCL7dN1tGo2QmY
Dildarian,Satinder Sartaaj,Punjabi,calming,happy,0.68,0.42,74,3MnKP0uLbH9dZ2o5JkVXR4,https://open.spotify.com/track/3MnKP0uLbH9dZ2o5JkVXR4
Iik Vaari Aa,Arijit Singh,Punjabi,comforting,happy,0.66,0.40,72,4NoPQ1tMbI9eZ3p6KlGYS5,https://open.spotify.com/track/4NoPQ1tMbI9eZ3p6KlGYS5
Ik Tara,Rabbi Shergill,Punjabi,hopeful,happy,0.80,0.62,90,5LoQR2uNbJ9fZ4q7LmHZT6,https://open.spotify.com/track/5LoQR2uNbJ9fZ4q7LmHZT6
Sifar,Gurdas Maan,Punjabi,calming,happy,0.64,0.38,68,6MpRS3vOcK9gZ5r8MnIZU7,https://open.spotify.com/track/6MpRS3vOcK9gZ5r8MnIZU7
Ekam,Gurdas Maan,Punjabi,calming,happy,0.62,0.36,66,7NqST4wPdL9hZ6s9NoJZV8,https://open.spotify.com/track/7NqST4wPdL9hZ6s9NoJZV8
Akhiyan,B Praak,Punjabi,comforting,happy,0.70,0.44,80,8OrTU5xQeM0iZ7t0OpKZW9,https://open.spotify.com/track/8OrTU5xQeM0iZ7t0OpKZW9
Qismat,B Praak,Punjabi,comforting,happy,0.67,0.42,74,9PsUV6yRfN1jZ8u1PqLZX0,https://open.spotify.com/track/9PsUV6yRfN1jZ8u1PqLZX0
Naah,Harrdy Sandhu,Punjabi,uplifting,happy,0.87,0.80,108,0QtVW7zSgO2kZ9v2QrMZY1,https://open.spotify.com/track/0QtVW7zSgO2kZ9v2QrMZY1
Laembadgini,Diljit Dosanjh,Punjabi,uplifting,happy,0.89,0.84,112,1RuWX8zThP3lZ0w3RsNZZ2,https://open.spotify.com/track/1RuWX8zThP3lZ0w3RsNZZ2
Proper Patola,Diljit Dosanjh,Punjabi,happy,happy,0.91,0.87,116,2SvXY9zUiQ4mZ1x4StOZA3,https://open.spotify.com/track/2SvXY9zUiQ4mZ1x4StOZA3
Rifle,Diljit Dosanjh,Punjabi,uplifting,happy,0.85,0.78,106,3TwYZ0zVjR5nZ2y5TuPZB4,https://open.spotify.com/track/3TwYZ0zVjR5nZ2y5TuPZB4
Lover,Diljit Dosanjh,Punjabi,hopeful,happy,0.83,0.70,98,4UxZA1zWkS6oZ3z6UvQZC5,https://open.spotify.com/track/4UxZA1zWkS6oZ3z6UvQZC5
GOAT,Diljit Dosanjh,Punjabi,uplifting,happy,0.88,0.83,110,5VyZB2zXlT7pZ4z7VwRZD6,https://open.spotify.com/track/5VyZB2zXlT7pZ4z7VwRZD6
Feelin Good,Chris Martin,English,calming,happy,0.72,0.48,80,5ZzZC3zYmU8qZ5z8WxSZE7,https://open.spotify.com/track/5ZzZC3zYmU8qZ5z8WxSZE7
Here Comes the Sun,The Beatles,English,hopeful,happy,0.88,0.62,126,6AzAD4zZnV9rZ6z9XySZF8,https://open.spotify.com/track/6AzAD4zZnV9rZ6z9XySZF8
Weightless,Marconi Union,English,calming,happy,0.55,0.22,60,5huGBGmqpFhQcEVoZa3Ps8,https://open.spotify.com/track/5huGBGmqpFhQcEVoZa3Ps8
Better Days,OneRepublic,English,hopeful,happy,0.82,0.66,94,7CwF3lNFxBvZkK3GhX0vHl,https://open.spotify.com/track/7CwF3lNFxBvZkK3GhX0vHl
Somewhere Only We Know,Keane,English,comforting,happy,0.70,0.50,84,3DWxR5b3GrNLiVf3YHyIqr,https://open.spotify.com/track/3DWxR5b3GrNLiVf3YHyIqr
Fix You,Coldplay,English,comforting,happy,0.64,0.38,70,7LVHVU3tWfcxj5aiPFEW4Q,https://open.spotify.com/track/7LVHVU3tWfcxj5aiPFEW4Q
Yellow,Coldplay,English,hopeful,happy,0.80,0.63,90,3AJwUDP919kvQ9QcozQPxg,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
The Scientist,Coldplay,English,comforting,happy,0.66,0.40,74,75JFxkI2816DGxi8friV9m,https://open.spotify.com/track/75JFxkI2816DGxi8friV9m
Clocks,Coldplay,English,hopeful,happy,0.79,0.62,131,0BCPKOYdS2jbQ5FvnOQjda,https://open.spotify.com/track/0BCPKOYdS2jbQ5FvnOQjda
Happy,Pharrell Williams,English,happy,happy,0.96,0.81,160,60nZcImufyMA1MKQY3dcCH,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH
Walking on Sunshine,Katrina & The Waves,English,happy,happy,0.94,0.85,138,05wIkICIbBBsn2FzBJUmAW,https://open.spotify.com/track/05wIkICIbBBsn2FzBJUmAW
Shake It Off,Taylor Swift,English,uplifting,happy,0.91,0.80,160,5fy0X0JmZRZnVa2UEicIOc,https://open.spotify.com/track/5fy0X0JmZRZnVa2UEicIOc
Good as Hell,Lizzo,English,uplifting,happy,0.90,0.74,154,3Kkjo3cT83cw06on3BMPXI,https://open.spotify.com/track/3Kkjo3cT83cw06on3BMPXI
Uptown Funk,Mark Ronson ft Bruno Mars,English,uplifting,happy,0.89,0.85,115,32OlwWS223PasGVfari7gF,https://open.spotify.com/track/32OlwWS223PasGVfari7gF
Best Day of My Life,American Authors,English,uplifting,happy,0.88,0.82,147,7527EqhTEBKSuHPT3Xt0Xo,https://open.spotify.com/track/7527EqhTEBKSuHPT3Xt0Xo
Can't Stop the Feeling,Justin Timberlake,English,happy,happy,0.93,0.79,113,1WkMMavIMc4JZ8cfMkaokA,https://open.spotify.com/track/1WkMMavIMc4JZ8cfMkaokA
Lean on Me,Bill Withers,English,comforting,happy,0.71,0.52,76,2mfmsPDJBMUEC3KPdMtKFs,https://open.spotify.com/track/2mfmsPDJBMUEC3KPdMtKFs
Don't Stop Believin,Journey,English,hopeful,happy,0.85,0.75,119,4bHsxqR3GMrXTxEPLuK5ue,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
Three Little Birds,Bob Marley,English,calming,happy,0.87,0.62,150,6IA8E2Q5ttcpbuahIejO74,https://open.spotify.com/track/6IA8E2Q5ttcpbuahIejO74
What a Wonderful World,Louis Armstrong,English,calming,happy,0.86,0.44,93,29U7stRjqHU6rMiS8BfaI9,https://open.spotify.com/track/29U7stRjqHU6rMiS8BfaI9
Count on Me,Bruno Mars,English,comforting,happy,0.84,0.58,152,56k2ztFw7fGASPxMMGXKEH,https://open.spotify.com/track/56k2ztFw7fGASPxMMGXKEH
Beautiful Day,U2,English,uplifting,happy,0.86,0.77,137,0jSAOCZrFHgEjPb4TsEuX4,https://open.spotify.com/track/0jSAOCZrFHgEjPb4TsEuX4
Lovely Day,Bill Withers,English,uplifting,happy,0.88,0.68,96,2RlgNHKcydI9sayD2Df2xp,https://open.spotify.com/track/2RlgNHKcydI9sayD2Df2xp
